data_area_id,cost_center,driver_value,fiscal_year,fiscal_period
AMUS,FINANCE,15,2024,1
AMUS,FINANCE,15,2024,2
AMUS,FINANCE,15,2024,3
AMUS,FINANCE,15,2024,4
AMUS,FINANCE,15,2024,5
AMUS,FINANCE,15,2024,6
AMUS,FINANCE,15,2024,7
AMUS,FINANCE,15,2024,8
AMUS,FINANCE,15,2024,9
AMUS,FINANCE,15,2024,10
AMUS,FINANCE,15,2024,11
AMUS,FINANCE,15,2024,12
AMUS,HQ,25,2024,1
AMUS,HQ,25,2024,2
AMUS,HQ,25,2024,3
AMUS,HQ,25,2024,4
AMUS,HQ,25,2024,5
AMUS,HQ,25,2024,6
AMUS,HQ,25,2024,7
AMUS,HQ,25,2024,8
AMUS,HQ,25,2024,9
AMUS,HQ,25,2024,10
AMUS,HQ,25,2024,11
AMUS,HQ,25,2024,12
AMUS,PROD,60,2024,1
AMUS,PROD,60,2024,2
AMUS,PROD,60,2024,3
AMUS,PROD,60,2024,4
AMUS,PROD,60,2024,5
AMUS,PROD,60,2024,6
AMUS,PROD,60,2024,7
AMUS,PROD,60,2024,8
AMUS,PROD,60,2024,9
AMUS,PROD,60,2024,10
AMUS,PROD,60,2024,11
AMUS,PROD,60,2024,12
