data_area_id,cost_center,driver_value,fiscal_year,fiscal_period
AMDE,FINANCE,500000,2024,1
AMDE,FINANCE,500000,2024,2
AMDE,FINANCE,500000,2024,3
AMDE,FINANCE,500000,2024,4
AMDE,FINANCE,500000,2024,5
AMDE,FINANCE,500000,2024,6
AMDE,FINANCE,500000,2024,7
AMDE,FINANCE,500000,2024,8
AMDE,FINANCE,500000,2024,9
AMDE,FINANCE,500000,2024,10
AMDE,FINANCE,500000,2024,11
AMDE,FINANCE,500000,2024,12
AMDE,HQ,6000000,2024,1
AMDE,HQ,6000000,2024,2
AMDE,HQ,6000000,2024,3
AMDE,HQ,6000000,2024,4
AMDE,HQ,6000000,2024,5
AMDE,HQ,6000000,2024,6
AMDE,HQ,6000000,2024,7
AMDE,HQ,6000000,2024,8
AMDE,HQ,6000000,2024,9
AMDE,HQ,6000000,2024,10
AMDE,HQ,6000000,2024,11
AMDE,HQ,6000000,2024,12
AMDE,SALES,4000000,2024,1
AMDE,SALES,4000000,2024,2
AMDE,SALES,4000000,2024,3
AMDE,SALES,4000000,2024,4
AMDE,SALES,4000000,2024,5
AMDE,SALES,4000000,2024,6
AMDE,SALES,4000000,2024,7
AMDE,SALES,4000000,2024,8
AMDE,SALES,4000000,2024,9
AMDE,SALES,4000000,2024,10
AMDE,SALES,4000000,2024,11
AMDE,SALES,4000000,2024,12
