data_area_id,cost_center,driver_value,fiscal_year,fiscal_period
AMHQ,FINANCE,150,2024,1
AMHQ,FINANCE,150,2024,2
AMHQ,FINANCE,150,2024,3
AMHQ,FINANCE,150,2024,4
AMHQ,FINANCE,150,2024,5
AMHQ,FINANCE,150,2024,6
AMHQ,FINANCE,150,2024,7
AMHQ,FINANCE,150,2024,8
AMHQ,FINANCE,150,2024,9
AMHQ,FINANCE,150,2024,10
AMHQ,FINANCE,150,2024,11
AMHQ,FINANCE,150,2024,12
AMHQ,PROD,1200,2024,1
AMHQ,PROD,1200,2024,2
AMHQ,PROD,1200,2024,3
AMHQ,PROD,1200,2024,4
AMHQ,PROD,1200,2024,5
AMHQ,PROD,1200,2024,6
AMHQ,PROD,1200,2024,7
AMHQ,PROD,1200,2024,8
AMHQ,PROD,1200,2024,9
AMHQ,PROD,1200,2024,10
AMHQ,PROD,1200,2024,11
AMHQ,PROD,1200,2024,12
AMHQ,SALES,500,2024,1
AMHQ,SALES,500,2024,2
AMHQ,SALES,500,2024,3
AMHQ,SALES,500,2024,4
AMHQ,SALES,500,2024,5
AMHQ,SALES,500,2024,6
AMHQ,SALES,500,2024,7
AMHQ,SALES,500,2024,8
AMHQ,SALES,500,2024,9
AMHQ,SALES,500,2024,10
AMHQ,SALES,500,2024,11
AMHQ,SALES,500,2024,12
