scenario_id,data_area_id,fiscal_year,main_account,dim_cost_center,dim_department,annual_amount,spread_profile_id,submitted_by
BUDGET_2025,USMF,2025,6100,SALES,SALES,1200000,EVEN,admin
BUDGET_2025,USMF,2025,6200,MARKETING,MARKETING,600000,SEASONAL_RETAIL,admin
BUDGET_2025,USMF,2025,7100,IT,IT,360000,EVEN,admin
BUDGET_2025,USMF,2025,4100,SALES,SALES,2400000,SEASONAL_RETAIL,admin
BUDGET_2025,AMHQ,2025,4010,HQ,MGMT,6000000,EVEN,admin
BUDGET_2025,AMHQ,2025,6010,HQ,MGMT,1500000,EVEN,admin
BUDGET_2025,AMUS,2025,4010,SALES,SALES,9600000,SEASONAL_RETAIL,admin
BUDGET_2025,AMUS,2025,5010,SALES,SALES,3840000,EVEN,admin
BUDGET_2025,AMUS,2025,6010,SALES,SALES,2400000,EVEN,admin
BUDGET_2025,AMDE,2025,4010,PROD,OPS,7200000,SEASONAL_RETAIL,admin
BUDGET_2025,AMDE,2025,5010,PROD,OPS,2880000,EVEN,admin
BUDGET_2025,AMDE,2025,6010,PROD,OPS,1800000,EVEN,admin
