main_account,cf_category,cf_line_item,is_cash,sign
1000000,Operating,Clearing & Statistical,0,-1
1000AG,Operating,Cash and cash equivalents,1,1
1000BSW,Operating,Cash and cash equivalents,1,1
1000CE,Operating,Cash and cash equivalents,1,1
1000FA,Operating,Cash and cash equivalents,1,1
1000MS,Operating,Cash and cash equivalents,1,1
1000RL,Operating,Cash and cash equivalents,1,1
100100,Operating,Cash and cash equivalents,1,1
100101,Operating,Cash and cash equivalents,1,1
100106,Operating,Change in Trade Payables,0,1
100107,Operating,Change in Trade Receivables,0,-1
110110,Operating,Cash and cash equivalents,1,1
110112,Operating,Cash and cash equivalents,1,1
110114,Operating,Cash and cash equivalents,1,1
110115,Operating,Cash and cash equivalents,1,1
110119,Operating,Cash and cash equivalents,1,1
110120,Operating,Cash and cash equivalents,1,1
110125,Operating,Cash and cash equivalents,1,1
110130,Operating,Cash and cash equivalents,1,1
110132,Operating,Cash and cash equivalents,1,1
110140,Operating,Cash and cash equivalents,1,1
110150,Operating,Cash and cash equivalents,1,1
110160,Operating,Cash and cash equivalents,1,1
110166,Operating,Cash and cash equivalents,1,1
110167,Operating,Cash and cash equivalents,1,1
110170,Operating,Clearing & Statistical,0,-1
110171,Operating,Cash and cash equivalents,1,1
110180,Operating,Cash and cash equivalents,1,1
11110,Operating,Cash and cash equivalents,1,1
11120,Operating,Cash and cash equivalents,1,1
112000,Operating,Cash and cash equivalents,1,1
11210,Operating,Change in Intercompany Balances,0,-1
112100,Operating,Change in Accrued Liabilities,0,1
112110,Operating,Change in Accrued Liabilities,0,1
112120,Operating,Change in Accrued Liabilities,0,1
112150,Operating,Change in Accrued Liabilities,0,1
112170,Operating,Change in Prepaid & Other Current Assets,0,-1
11220,Operating,Change in Trade Receivables,0,-1
11310,Operating,Change in Trade Receivables,0,-1
11400,Investing,Purchase / Sale of Fixed Assets,0,-1
11500,Investing,Goodwill & Intangibles,0,-1
1200,Operating,Change in Trade Receivables,0,-1
120000,Operating,Change in Prepaid & Other Current Assets,0,-1
120100,Investing,Purchase / Sale of Investments,0,-1
120200,Investing,Purchase / Sale of Investments,0,-1
120400,Operating,Change in Trade Receivables,0,-1
120501,Operating,Clearing & Statistical,0,-1
120600,Operating,Change in Trade Receivables,0,-1
12100,Investing,Purchase / Sale of Fixed Assets,0,-1
12200,Investing,Purchase / Sale of Fixed Assets,0,-1
12210,Operating,Change in Inventory,0,-1
12500,Investing,Purchase / Sale of Fixed Assets,0,-1
130100,Operating,Change in Trade Receivables,0,-1
130300,Operating,Change in Trade Receivables,0,-1
130400,Operating,Change in Trade Receivables,0,-1
130500,Operating,Change in Trade Receivables,0,-1
130600,Operating,Change in Trade Receivables,0,-1
130700,Operating,Change in Trade Receivables,0,-1
130701,Operating,Change in Trade Receivables,0,-1
130725,Operating,Clearing & Statistical,0,-1
130726,Operating,Clearing & Statistical,0,-1
130730,Operating,Change in Trade Receivables,0,-1
130750,Operating,Change in Trade Receivables,0,-1
130800,Operating,Change in Trade Receivables,0,-1
132100,Operating,Change in Prepaid & Other Current Assets,0,-1
132190,Operating,Change in Prepaid & Other Current Assets,0,-1
133100,Operating,Change in Intercompany Balances,0,-1
133150,Operating,Change in Intercompany Balances,0,-1
133300,Operating,Change in Intercompany Balances,0,-1
133330,Operating,Change in Intercompany Balances,0,-1
133340,Operating,Change in Intercompany Balances,0,-1
133345,Operating,Change in Intercompany Balances,0,-1
133355,Operating,Change in Intercompany Balances,0,-1
133500,Operating,Change in Intercompany Balances,0,-1
140000,Operating,Clearing & Statistical,0,-1
140100,Operating,Change in Inventory,0,-1
140190,Operating,Change in Prepaid & Other Current Assets,0,-1
140191,Operating,Change in Prepaid & Other Current Assets,0,-1
140200,Operating,Change in Prepaid & Other Current Assets,0,-1
14100,Investing,Purchase / Sale of Fixed Assets,0,-1
14210,Operating,Change in Intercompany Balances,0,-1
14270,Operating,Change in Intercompany Balances,0,-1
14410,Operating,Change in Intercompany Balances,0,-1
14450,Operating,Change in Prepaid & Other Current Assets,0,-1
14470,Operating,Change in Intercompany Balances,0,-1
14900,Investing,Purchase / Sale of Fixed Assets,0,-1
150000,Operating,Clearing & Statistical,0,-1
150100,Operating,Change in Inventory,0,-1
150150,Operating,Change in Inventory,0,-1
150200,Operating,Change in Inventory,0,-1
150250,Operating,Change in Inventory,0,-1
155555,Operating,Cash and cash equivalents,1,1
160100,Operating,Change in Inventory,0,-1
160200,Operating,Change in Inventory,0,-1
160300,Operating,Change in Inventory,0,-1
160500,Operating,Change in Inventory,0,-1
160600,Operating,Change in Inventory,0,-1
161300,Operating,Change in Inventory,0,-1
166666,Investing,Purchase / Sale of Fixed Assets,0,-1
170150,Investing,Goodwill & Intangibles,0,-1
1800,Investing,Purchase / Sale of Fixed Assets,0,-1
180100,Investing,Purchase / Sale of Fixed Assets,0,-1
180140,Investing,Purchase / Sale of Fixed Assets,0,-1
180141,Investing,Purchase / Sale of Fixed Assets,0,-1
180150,Investing,Purchase / Sale of Fixed Assets,0,-1
180200,Operating,Depreciation & Amortisation,0,-1
180240,Operating,Depreciation & Amortisation,0,-1
