data_area_id,fiscal_calendar_id
AABJ,Fiscal
AFSN,Fiscal
ADC,ADC-STD
BEL,Fiscal
BRMF,Fiscal
BSW7,Fiscal
BW77,Fiscal
CBD,CBD
CCG,Fiscal
CEL,Fiscal
CHBK,Fiscal
CMBC,CMBC-CAL
CN01,Fiscal_CN
CNET,Fiscal_CN
CNMF,Fiscal_CN
CONS,Fiscal
CZ,Fiscal
DAIN,Fisscal_IN
DEMF,Fiscal
ERF1,Fiscal
ERF2,Fiscal
FRRT,Fiscal
FRSI,Fiscal
GBFI,Fiscal
GBSI,Fiscal
GLCO,Fiscal
GLMF,Fiscal
GLRT,Fiscal
GLSI,Fiscal
HOTP,Fiscal
INMF,Fisscal_IN
ITCO,Fiscal
JPMF,Fiscal
LD-CAL,Fiscal
LRP,Fiscal
MXMF,Fiscal
MYMF,Fiscal_MY
NGO,Fiscal
NHVG,Fiscal
NT,Fiscal
PDEU,Fiscal
PESP,Fiscal
PMES,Fiscal
PMCO,Fiscal
PMDE,Fiscal
POL1,Fiscal
PUK,Fiscal
RPG,Fiscal
RPL,Fiscal
RUMF,Fiscal
RURT,Fiscal
SAMF,Fiscal_SA
TDBF,TDBF-STD
TCSU,Fiscal
THMF,Fiscal_TH
THPM,Fiscal_TH
TLE,Fiscal
US01,Fiscal
USMF,Fiscal
USPI,Fiscal
USPM,Fiscal
USRT,Fiscal
USSI,Fiscal
USP2,Fiscal
,Fiscal
